file,shapes,shapes_id,shapes_cnt,max_dims
/data-10tb/shared/skull/train-3d-iso/IXI/IXI020-Guys-0700-T1.anat_T1_biascorr_brain_mask_iso.nii.gz,"(168, 240, 170)",5.0,6.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI022-Guys-0701-T1.anat_T1_biascorr_iso.nii.gz,"(168, 240, 170)",5.0,6.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI022-Guys-0701-T1.anat_T1_iso.nii.gz,"(168, 240, 170)",5.0,6.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI022-Guys-0701-T1.anat_T1_biascorr_brain_mask_iso.nii.gz,"(168, 240, 170)",5.0,6.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI020-Guys-0700-T1.anat_T1_biascorr_iso.nii.gz,"(168, 240, 170)",5.0,6.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI020-Guys-0700-T1.anat_T1_iso.nii.gz,"(168, 240, 170)",5.0,6.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI023-Guys-0699-T1.anat_T1_biascorr_iso.nii.gz,"(156, 240, 170)",4.0,6.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI026-Guys-0696-T1.anat_T1_biascorr_iso.nii.gz,"(156, 240, 170)",4.0,6.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI023-Guys-0699-T1.anat_T1_iso.nii.gz,"(156, 240, 170)",4.0,6.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI023-Guys-0699-T1.anat_T1_biascorr_brain_mask_iso.nii.gz,"(156, 240, 170)",4.0,6.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI026-Guys-0696-T1.anat_T1_iso.nii.gz,"(156, 240, 170)",4.0,6.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI026-Guys-0696-T1.anat_T1_biascorr_brain_mask_iso.nii.gz,"(156, 240, 170)",4.0,6.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI297-Guys-0886-T1.anat_T1_iso.nii.gz,"(180, 250, 170)",3.0,15.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI297-Guys-0886-T1.anat_T1_biascorr_brain_mask_iso.nii.gz,"(180, 250, 170)",3.0,15.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI623-Guys-1076-T1.anat_T1_iso.nii.gz,"(180, 250, 170)",3.0,15.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI641-Guys-1105-T1.anat_T1_iso.nii.gz,"(180, 250, 170)",3.0,15.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI641-Guys-1105-T1.anat_T1_biascorr_iso.nii.gz,"(180, 250, 170)",3.0,15.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI623-Guys-1076-T1.anat_T1_biascorr_brain_mask_iso.nii.gz,"(180, 250, 170)",3.0,15.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI641-Guys-1105-T1.anat_T1_biascorr_brain_mask_iso.nii.gz,"(180, 250, 170)",3.0,15.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI297-Guys-0886-T1.anat_T1_biascorr_iso.nii.gz,"(180, 250, 170)",3.0,15.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI642-Guys-1104-T1.anat_T1_biascorr_brain_mask_iso.nii.gz,"(180, 250, 170)",3.0,15.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI642-Guys-1104-T1.anat_T1_iso.nii.gz,"(180, 250, 170)",3.0,15.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI497-Guys-1002-T1.anat_T1_iso.nii.gz,"(180, 250, 170)",3.0,15.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI497-Guys-1002-T1.anat_T1_biascorr_brain_mask_iso.nii.gz,"(180, 250, 170)",3.0,15.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI642-Guys-1104-T1.anat_T1_biascorr_iso.nii.gz,"(180, 250, 170)",3.0,15.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI623-Guys-1076-T1.anat_T1_biascorr_iso.nii.gz,"(180, 250, 170)",3.0,15.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI497-Guys-1002-T1.anat_T1_biascorr_iso.nii.gz,"(180, 250, 170)",3.0,15.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI597-IOP-1161-T1.anat_T1_biascorr_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI332-IOP-1134-T1.anat_T1_biascorr_brain_mask_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI340-IOP-0915-T1.anat_T1_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI337-IOP-0929-T1.anat_T1_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI238-IOP-0883-T1.anat_T1_biascorr_brain_mask_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI310-IOP-0890-T1.anat_T1_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI477-IOP-1141-T1.anat_T1_biascorr_brain_mask_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI532-IOP-1145-T1.anat_T1_biascorr_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI470-IOP-1030-T1.anat_T1_biascorr_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI430-IOP-0990-T1.anat_T1_biascorr_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI597-IOP-1161-T1.anat_T1_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI378-IOP-0972-T1.anat_T1_biascorr_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI541-IOP-1146-T1.anat_T1_biascorr_brain_mask_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI290-IOP-0874-T1.anat_T1_biascorr_brain_mask_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI309-IOP-0897-T1.anat_T1_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI425-IOP-0988-T1.anat_T1_biascorr_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI382-IOP-1135-T1.anat_T1_biascorr_brain_mask_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI595-IOP-1159-T1.anat_T1_biascorr_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI435-IOP-1040-T1.anat_T1_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI337-IOP-0929-T1.anat_T1_biascorr_brain_mask_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI315-IOP-0888-T1.anat_T1_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI541-IOP-1146-T1.anat_T1_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
/data-10tb/shared/skull/train-3d-iso/IXI/IXI442-IOP-1041-T1.anat_T1_iso.nii.gz,"(175, 240, 170)",2.0,222.0,"(180, 250, 170)"
